Liver_1_ctrl	Liver_1_treat1	Liver_1_treat2	Liver_2_ctrl1	Liver_2_ctrl2	Liver_2_ctrl3	Liver_2_treat1	Liver_2_treat2	Liver_2_treat3	Adipo_1_ctrl	Adipo_1_treat1	Adipo_1_treat2	Adipo_2_ctrl1	Adipo_2_ctrl2	Adipo_2_ctrl3	Adipo_2_treat1	Adipo_2_treat2	Adipo_2_treat3
ENSMUSG00000122559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122561	0	8	0	8	0	30	0	0	0	1	3	3	0	0	0	0	0	0
ENSMUSG00000122562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122563	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122568	2	4	0	10	12	0	0	2	34	0	0	0	0	0	0	0	0	0
ENSMUSG00000122569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122573	70	44	66	100	54	36	150.4	215.28	120.18	12	0	17	0	0	0	0	0	0
ENSMUSG00000122574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122577	6	9	3	0	1	0	0	2	0	3	0	4	0	0	0	0	0	0
ENSMUSG00000122578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122580	15	0	0	0	0	10	0	0	0	0	5	0	0	0	0	0	0	0
ENSMUSG00000122581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122583	0	7	2	0	0	0	0	6	14	0	0	0	0	0	0	0	0	0
ENSMUSG00000122584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122587	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122588	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122592	0	1	0	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0
ENSMUSG00000122593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122599	10	0	1	0	11	0	0	0	0	5	17	6	0	0	0	0	0	0
ENSMUSG00000122601	0	2	0	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0
ENSMUSG00000122602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122603	0	0	0	8	0	0	0	0	1.95	0	0	0	0	0	0	0	0	0
ENSMUSG00000122604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122605	5	15	4	1	4	0	0	0	0	3	0	4	0	0	0	0	0	0
ENSMUSG00000122606	0	0	0	0	6	0	0	0	0	0	4	0	0	0	0	0	0	0
ENSMUSG00000122607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122612	7	4	0	13	0	16	0	3	16	0	0	0	0	0	0	0	0	0
ENSMUSG00000122613	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122614	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122615	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122616	70	26	18.88	53.78	12.83	36.89	19.75	26	22.4	73.58	94.69	59.24	0	0	73	0	0	0
ENSMUSG00000122617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122618	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122624	2	15	1	1	19	3	5	1	14	3	0	3	0	0	0	0	0	0
ENSMUSG00000122625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122629	0	0	0	3	7	12	8	25	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000122630	8	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000122631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122634	0	4	3	14	26	0	11	0	0	8	13	1	0	0	0	0	0	0
ENSMUSG00000122635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122636	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122648	1	3	4	14	0	11	0	1	5	0	0	0	0	0	0	0	0	0
ENSMUSG00000122649	0	4	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122659	0	0	4	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122660	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000122661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122665	21	37	102	21	34	29	60	23	23	5	14	34	0	0	0	0	0	0
ENSMUSG00000122666	0	0	1	1	18	2	26	14	0	0	0	9	1	0	0	0	0	0
ENSMUSG00000122667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122671	0	9	0	2	0	19	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122672	13	0	0	0	7.99	7	0	35	24	0	0	0	0	0	0	0	0	0
ENSMUSG00000122673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122675	24	6	73	47	61	16	138	71	35	4	10	8	0	0	0	0	0	0
ENSMUSG00000122676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122679	0	0	22.39	22	18.74	4	22.9	16	13.91	3	2.42	18.67	1	0	0	0	0	0
ENSMUSG00000122680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122682	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122683	10	6	0	0	3	0	1	12	11	7	0	0	0	0	0	0	0	0
ENSMUSG00000122684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122685	93	49	135	81	119	80	157	61	36	35	51	23	119	0	0	0	0	0
ENSMUSG00000122686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122690	6	0	0	0	0	0	0	0	6	7	0	4	0	0	0	0	0	0
ENSMUSG00000122691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122692	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
ENSMUSG00000122693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122694	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122699	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122701	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122705	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122706	5	2	3	5	10	31	19	0	1	6	2	13	180	0	0	0	0	0
ENSMUSG00000122708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122710	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ENSMUSG00000122711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122712	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000122713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122717	39	0	0	0	5	10	2	1	0	0	0	4	0	0	0	0	0	0
ENSMUSG00000122718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122719	7	0	4	0	7	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122720	0	0	1	0	0	0	0	15	16	0	0	0	0	0	0	0	0	0
ENSMUSG00000122721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122722	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122724	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000122726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122727	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000122728	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
ENSMUSG00000122729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122730	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
ENSMUSG00000122731	3	1	0	11	10	0	4	18	9	0	1	0	0	0	0	0	0	0
ENSMUSG00000122732	3	2.91	25	20	12	7	20	15	0	0	15	1	0	0	0	0	0	0
ENSMUSG00000122733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122747	0	0	0	0	0	0	0	5	0	3	0	4	0	0	0	0	0	0
ENSMUSG00000122748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122750	0	0	0	0	19.53	0	0	2	15	0	0	1	0	0	0	0	0	0
ENSMUSG00000122751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122752	0	32	69	0	19	14	32	8	13	5	10	1	0	0	0	0	0	0
ENSMUSG00000122753	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122756	0	6	0	12	0	54	14	0	0	0	0	0	0	0	0	0.7	0	0
ENSMUSG00000122757	1	2	4	9	5	1	0	5	14	0	0	0	0	0	0	0	0	0
ENSMUSG00000122758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122760	3	0	0	18	35	0	0	0	14	0	0	0	0	0	0	0	0	0
ENSMUSG00000122761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122764	8	2	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122765	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0
ENSMUSG00000122766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122769	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0
ENSMUSG00000122770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122771	3	5	6	0	18	0	0	2	0	0	5	0	0	0	0	0	0	0
ENSMUSG00000122772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122773	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122774	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
ENSMUSG00000122775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122778	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000122779	0	0	1	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0
ENSMUSG00000122780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122781	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000122782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122783	6	5	1	9	7	0	5	0	25	0	1	0	0	0	0	0	0	0
ENSMUSG00000122784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122788	25.07	5	7	36	29.92	23	10.11	4.22	43.08	7	0	16	0	0	0	0	0	0
ENSMUSG00000122789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122790	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000122791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122813	0	0	0	0	0	0	0	0	0	1	0	9	0	0	0	0	0	0
ENSMUSG00000122814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122815	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122816	0	0	0	4	0	0	11	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122818	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122819	0	0	5	13	0	25	5	2	3	0	0	1	0	0	0	0	0	0
ENSMUSG00000122820	4	0	4	0	1	9	0	3	0	0	0	7	0	0	0	0	0	0
ENSMUSG00000122821	5	0	13	0	9	0	11.83	3	26.01	0	0	0	2	0	1	0.78	1	0
ENSMUSG00000122822	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122823	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122825	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122827	0	0	4	13	6	0	1.42	0	2	0	0	0	0	0	0	0	0	0
ENSMUSG00000122828	0	0	0	11	0	0	5	24	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122829	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122831	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122832	2	0	3	16	6	2	11	8	2	0	3	3	0	0	0	0	0	0
ENSMUSG00000122833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122837	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122838	0	1	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000122839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122840	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122841	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122843	13	7	3	5	31	43	42	8	30	18	9	8	0	0	0	0	0	0
ENSMUSG00000122844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122846	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122847	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ENSMUSG00000122848	0	0	0	5	0	4	0	0	0	0	0	2	0	0	0	0	0	0
ENSMUSG00000122849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122850	4	7	0	2	16.56	0	7	5	0	5	5	2	0	0	0	0	0	0
ENSMUSG00000122851	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
